WARD_NAME,Total_Poplation,Area_(Sq Km),Population_Density (People/Sq Km),Average_Annual_Household_Income (Rands),Norm_Pop,Norm_Density,Norm_Income
1,26434,27.2,970.9,230700,0.198378076,0.030701826,0.484094982
2,29914,9.2,3251.52,115100,0.295693512,0.108539855,0.225134409
3,25737,10.9,2361.19,230700,0.178887025,0.078152709,0.484094982
4,33365,12.6,2648.02,57300,0.392197987,0.087942276,0.095654122
5,24481,8.9,2750.67,230700,0.143763982,0.091445742,0.484094982
6,36512,8.1,4507.65,14600,0.480201342,0.15141183,0
7,27867,8.9,3131.12,115100,0.238450783,0.104430578,0.225134409
8,29267,16.5,1773.76,230700,0.277600671,0.058103603,0.484094982
9,31736,11.1,2859.1,57300,0.346644295,0.09514648,0.095654122
10,30522,11.1,2749.73,115100,0.312695749,0.091413659,0.225134409
11,34321,10.3,3332.14,230700,0.418931767,0.111291432,0.484094982
12,35392,3.8,9313.68,57300,0.448881432,0.315442621,0.095654122
13,47175,3.7,12750,29400,0.778383669,0.432724928,0.033154122
14,37314,3.8,9819.47,57300,0.502628635,0.332705338,0.095654122
15,22774,21.7,1049.49,230700,0.096029083,0.033384119,0.484094982
16,42940,15.9,2700.63,57300,0.659955257,0.089737866,0.095654122
17,41077,8.1,5071.23,57300,0.607857942,0.170646931,0.095654122
18,26118,2,13059,14600,0.189541387,0.443271162,0
19,53586,8.2,6534.88,29400,0.957662192,0.220601606,0.033154122
20,42432,3.2,13260,29400,0.645749441,0.450131333,0.033154122
21,21962,11.1,1978.56,230700,0.073322148,0.065093469,0.484094982
22,30846,7.8,3954.62,57300,0.321756152,0.132536803,0.095654122
23,29183,93.6,311.78,230700,0.275251678,0.008205925,0.484094982
24,30432,18.6,1636.13,29400,0.310178971,0.053406263,0.033154122
25,40211,3.4,11826.76,29400,0.58364094,0.401214557,0.033154122
26,38576,8,4822,115100,0.537919463,0.16214066,0.225134409
27,20526,5.7,3601.05,115100,0.033165548,0.120469386,0.225134409
28,35448,3.2,11077.5,57300,0.450447427,0.37564216,0.095654122
29,37490,171.7,218.35,57300,0.507550336,0.00501714,0.095654122
30,35723,9.4,3800.32,57300,0.458137584,0.127270512,0.095654122
31,35329,5.8,6091.21,57300,0.447119687,0.205459058,0.095654122
32,43208,199.7,216.36,29400,0.667449664,0.004949221,0.033154122
33,38412,1.8,21340,14600,0.533333333,0.725903392,0
34,35587,1.6,22241.88,29400,0.454334452,0.756684742,0.033154122
35,30068,5,6013.6,29400,0.3,0.202810213,0.033154122
36,31455,2.2,14297.73,14600,0.338786353,0.485549271,0
37,22186,1.4,15847.14,14600,0.07958613,0.538430953,0
38,23593,1.9,12417.37,29400,0.118931767,0.421372198,0.033154122
39,29136,1.3,22412.31,14600,0.27393736,0.762501553,0
40,35085,1.8,19491.67,14600,0.440296421,0.66281951,0
41,25004,2,12502,29400,0.158389262,0.424260637,0.033154122
42,25298,1.5,16865.33,14600,0.166610738,0.573181986,0
43,37811,46.1,820.2,115100,0.516526846,0.025558404,0.225134409
44,38288,4.8,7976.67,29400,0.529865772,0.269810195,0.033154122
45,34767,1.9,18298.42,29400,0.431403803,0.622093642,0.033154122
46,29914,6.7,4464.78,57300,0.295693512,0.149948668,0.095654122
47,34625,2.1,16488.1,29400,0.427432886,0.560307049,0.033154122
48,24186,4.6,5257.83,57300,0.135514541,0.177015628,0.095654122
49,33314,6.1,5461.31,57300,0.390771812,0.183960442,0.095654122
50,32977,2.5,13190.8,29400,0.381347875,0.447769523,0.033154122
51,25875,1.8,14375,29400,0.182746085,0.488186512,0.033154122
52,23641,0.99,23903.94,14600,0.120274049,0.813411191,0
53,24927,14.7,1695.71,230700,0.156236018,0.05543974,0.484094982
54,22127,35,632.2,230700,0.077936242,0.019141926,0.484094982
55,30716,13,2362.77,115100,0.318120805,0.078206635,0.225134409
56,33461,12,2788.42,57300,0.39488255,0.092734157,0.095654122
57,29939,11.3,2649.47,115100,0.296392617,0.087991765,0.225134409
58,27645,9.6,2879.69,230700,0.232242729,0.095849221,0.484094982
59,19340,9.7,1993.81,230700,0,0.065613955,0.484094982
60,31679,7.8,4061.41,230700,0.345050336,0.136181567,0.484094982
61,30781,166.3,185.09,115100,0.319938479,0.00388197,0.225134409
62,22000,36.2,607.73,230700,0.074384787,0.01830676,0.484094982
63,31256,10.7,2921.12,230700,0.333221477,0.097263235,0.484094982
64,27993,23.3,1201.42,230700,0.241974273,0.038569521,0.484094982
65,31537,4.2,7508.81,57300,0.341079418,0.253842037,0.095654122
66,31083,4.9,6343.47,57300,0.328383669,0.214068744,0.095654122
67,48723,21.2,2298.25,29400,0.82167226,0.076004554,0.033154122
68,26372,2.8,9418.57,29400,0.196644295,0.319022538,0.033154122
69,34770,40.7,854.3,29400,0.431487696,0.026722244,0.033154122
70,25113,28.4,884.26,461000,0.16143736,0.027744785,1
71,25431,57.3,443.82,230700,0.170329978,0.012712478,0.484094982
72,27877,7.2,3871.81,115100,0.238730425,0.12971048,0.225134409
73,26246,9.4,2792.13,230700,0.193120805,0.09286078,0.484094982
74,33438,32.3,1035.23,29400,0.394239374,0.032897422,0.033154122
75,36876,5.1,7230.59,57300,0.490380313,0.244346331,0.095654122
76,34848,4.3,8104.19,57300,0.433668904,0.274162479,0.095654122
77,22301,19.4,1149.54,230700,0.082802013,0.036798846,0.484094982
78,25113,28.4,884.26,115100,0.16143736,0.027744785,0.225134409
79,43484,3.1,14027.1,57300,0.675167785,0.476312614,0.095654122
80,35900,1.8,19944.44,14600,0.463087248,0.678272643,0
81,38932,4.6,8463.48,57300,0.54787472,0.28642512,0.095654122
82,41383,4.2,9853.1,29400,0.616414989,0.333853136,0.033154122
83,24842,6.2,4006.77,57300,0.15385906,0.134316693,0.095654122
84,34971,145.2,240.85,115100,0.437108501,0.00578507,0.225134409
85,33367,4.2,7944.52,29400,0.392253915,0.268712909,0.033154122
86,39177,4,9794.25,29400,0.554725951,0.331844574,0.033154122
87,26154,1.1,23776.36,14600,0.190548098,0.80905686,0
88,43775,2.6,16836.54,14600,0.683305369,0.572199378,0
89,32308,1.1,29370.91,14600,0.362639821,1,0
90,22175,0.81,27546.58,14600,0.079278523,0.937735242,0
91,32263,1.1,29330,29400,0.361381432,0.998603733,0.033154122
92,29927,3.6,8313.06,57300,0.296057047,0.281291255,0.095654122
93,35331,4.5,7851.33,14600,0.447175615,0.265532315,0
94,31604,3.4,9295.29,29400,0.34295302,0.314814967,0.033154122
95,40449,7.7,5253.12,14600,0.590296421,0.176854874,0
96,32031,3.8,8429.21,29400,0.354893736,0.285255478,0.033154122
97,27840,2.3,12104.35,29400,0.237695749,0.410688761,0.033154122
98,33594,2,16797,29400,0.39860179,0.570849869,0.033154122
99,42321,8.3,5098.92,29400,0.642645414,0.171591997,0.033154122
100,34448,111.9,307.85,115100,0.422483221,0.008071794,0.225134409
101,37084,4.2,8829.52,14600,0.496196868,0.298918141,0
102,27039,11,2458.09,230700,0.215296421,0.081459926,0.484094982
103,25618,12.4,2065.97,230700,0.175559284,0.06807679,0.484094982
104,36973,32.3,1144.67,14600,0.493092841,0.036632632,0
105,33464,469,71.35,57300,0.394966443,0,0.095654122
106,55100,3.3,16696.97,14600,1,0.567435825,0
107,25092,9.9,2534.55,230700,0.160850112,0.084069522,0.484094982
108,41989,7.3,5751.92,29400,0.633361298,0.193879021,0.033154122
109,33245,37.5,886.53,57300,0.388842282,0.027822261,0.095654122
110,24906,3.1,8034.19,57300,0.15564877,0.271773365,0.095654122
111,35104,5.9,5949.83,57300,0.44082774,0.20063373,0.095654122
112,21837,11.8,1850.59,230700,0.069826622,0.060725827,0.484094982
113,27706,16.8,1649.17,230700,0.233948546,0.053851321,0.484094982
114,25998,8,3249.75,14600,0.186185682,0.108479445,0
115,30754,15.6,1971.41,115100,0.319183445,0.064849438,0.225134409
116,32014,9.3,3442.37,57300,0.354418345,0.115053605,0.095654122
,,,,,,,
,55100,,29370.91,461000,,,
,19340,,71.35,14600,,,
