WARD_NAME,Total_Poplation,Area_(Sq Km),Population_Density (People/Sq Km),Average_Annual_Household_Income (Rands)
1.00,26434.00,27.20,970.90,230700.00
2.00,29914.00,9.20,3251.52,115100.00
3.00,25737.00,10.90,2361.19,230700.00
4.00,33365.00,12.60,2648.02,57300.00
5.00,24481.00,8.90,2750.67,230700.00
6.00,36512.00,8.10,4507.65,14600.00
7.00,27867.00,8.90,3131.12,115100.00
8.00,29267.00,16.50,1773.76,230700.00
9.00,31736.00,11.10,2859.10,57300.00
10.00,30522.00,11.10,2749.73,115100.00
11.00,34321.00,10.30,3332.14,230700.00
12.00,35392.00,3.80,9313.68,57300.00
13.00,47175.00,3.70,12750.00,29400.00
14.00,37314.00,3.80,9819.47,57300.00
15.00,22774.00,21.70,1049.49,230700.00
16.00,42940.00,15.90,2700.63,57300.00
17.00,41077.00,8.10,5071.23,57300.00
18.00,26118.00,2.00,13059.00,14600.00
19.00,53586.00,8.20,6534.88,29400.00
20.00,42432.00,3.20,13260.00,29400.00
21.00,21962.00,11.10,1978.56,230700.00
22.00,30846.00,7.80,3954.62,57300.00
23.00,29183.00,93.60,311.78,230700.00
24.00,30432.00,18.60,1636.13,29400.00
25.00,40211.00,3.40,11826.76,29400.00
26.00,38576.00,8.00,4822.00,115100.00
27.00,20526.00,5.70,3601.05,115100.00
28.00,35448.00,3.20,11077.50,57300.00
29.00,37490.00,171.70,218.35,57300.00
30.00,35723.00,9.40,3800.32,57300.00
31.00,35329.00,5.80,6091.21,57300.00
32.00,43208.00,199.70,216.36,29400.00
33.00,38412.00,1.80,21340.00,14600.00
34.00,35587.00,1.60,22241.88,29400.00
35.00,30068.00,5.00,6013.60,29400.00
36.00,31455.00,2.20,14297.73,14600.00
37.00,22186.00,1.40,15847.14,14600.00
38.00,23593.00,1.90,12417.37,29400.00
39.00,29136.00,1.30,22412.31,14600.00
40.00,35085.00,1.80,19491.67,14600.00
41.00,25004.00,2.00,12502.00,29400.00
42.00,25298.00,1.50,16865.33,14600.00
43.00,37811.00,46.10,820.20,115100.00
44.00,38288.00,4.80,7976.67,29400.00
45.00,34767.00,1.90,18298.42,29400.00
46.00,29914.00,6.70,4464.78,57300.00
47.00,34625.00,2.10,16488.10,29400.00
48.00,24186.00,4.60,5257.83,57300.00
49.00,33314.00,6.10,5461.31,57300.00
50.00,32977.00,2.50,13190.80,29400.00
51.00,25875.00,1.80,14375.00,29400.00
52.00,23641.00,0.99,23903.94,14600.00
53.00,24927.00,14.70,1695.71,230700.00
54.00,22127.00,35.00,632.20,230700.00
55.00,30716.00,13.00,2362.77,115100.00
56.00,33461.00,12.00,2788.42,57300.00
57.00,29939.00,11.30,2649.47,115100.00
58.00,27645.00,9.60,2879.69,230700.00
59.00,19340.00,9.70,1993.81,230700.00
60.00,31679.00,7.80,4061.41,230700.00
61.00,30781.00,166.30,185.09,115100.00
62.00,22000.00,36.20,607.73,230700.00
63.00,31256.00,10.70,2921.12,230700.00
64.00,27993.00,23.30,1201.42,230700.00
65.00,31537.00,4.20,7508.81,57300.00
66.00,31083.00,4.90,6343.47,57300.00
67.00,48723.00,21.20,2298.25,29400.00
68.00,26372.00,2.80,9418.57,29400.00
69.00,34770.00,40.70,854.30,29400.00
70.00,25113.00,28.40,884.26,461000.00
71.00,25431.00,57.30,443.82,230700.00
72.00,27877.00,7.20,3871.81,115100.00
73.00,26246.00,9.40,2792.13,230700.00
74.00,33438.00,32.30,1035.23,29400.00
75.00,36876.00,5.10,7230.59,57300.00
76.00,34848.00,4.30,8104.19,57300.00
77.00,22301.00,19.40,1149.54,230700.00
78.00,25113.00,28.40,884.26,115100.00
79.00,43484.00,3.10,14027.10,57300.00
80.00,35900.00,1.80,19944.44,14600.00
81.00,38932.00,4.60,8463.48,57300.00
82.00,41383.00,4.20,9853.10,29400.00
83.00,24842.00,6.20,4006.77,57300.00
84.00,34971.00,145.20,240.85,115100.00
85.00,33367.00,4.20,7944.52,29400.00
86.00,39177.00,4.00,9794.25,29400.00
87.00,26154.00,1.10,23776.36,14600.00
88.00,43775.00,2.60,16836.54,14600.00
89.00,32308.00,1.10,29370.91,14600.00
90.00,22175.00,0.81,27546.58,14600.00
91.00,32263.00,1.10,29330.00,29400.00
92.00,29927.00,3.60,8313.06,57300.00
93.00,35331.00,4.50,7851.33,14600.00
94.00,31604.00,3.40,9295.29,29400.00
95.00,40449.00,7.70,5253.12,14600.00
96.00,32031.00,3.80,8429.21,29400.00
97.00,27840.00,2.30,12104.35,29400.00
98.00,33594.00,2.00,16797.00,29400.00
99.00,42321.00,8.30,5098.92,29400.00
100.00,34448.00,111.90,307.85,115100.00
101.00,37084.00,4.20,8829.52,14600.00
102.00,27039.00,11.00,2458.09,230700.00
103.00,25618.00,12.40,2065.97,230700.00
104.00,36973.00,32.30,1144.67,14600.00
105.00,33464.00,469.00,71.35,57300.00
106.00,55100.00,3.30,16696.97,14600.00
107.00,25092.00,9.90,2534.55,230700.00
108.00,41989.00,7.30,5751.92,29400.00
109.00,33245.00,37.50,886.53,57300.00
110.00,24906.00,3.10,8034.19,57300.00
111.00,35104.00,5.90,5949.83,57300.00
112.00,21837.00,11.80,1850.59,230700.00
113.00,27706.00,16.80,1649.17,230700.00
114.00,25998.00,8.00,3249.75,14600.00
115.00,30754.00,15.60,1971.41,115100.00
116.00,32014.00,9.30,3442.37,57300.00
