OBJECTID,SRA_NAME,SHAPESTArea,SHAPESTLength
1,PAARDEN ISLAND,1654099.57342529,9151.43905670545
2,BLACKHEATH,2945021.76581573,9491.501215395
3,ATHLONE,110968.930252075,1501.16282621271
4,AIRPORT,1916585.1373291,9662.80809136054
5,PAROW INDUSTRIA,1940436.48797607,7302.58713982604
6,VREDEKLOOF,1202094.1516037,4201.91548119641
7,STIKLAND INDUSTRIAL,1686952.19791412,6057.70117513857
8,GLOSDERRY,232071.867202759,2013.06302507361
9,ZEEKOEVLEI,144774.765457153,3919.65157303795
10,STRAND CBD,290917.842075348,2585.86490784751
11,LLANDUDNO,451003.199050903,3895.5235329911
12,KALK BAY / ST. JAMES,688508.659744263,6516.39989993291
13,SOMERSET WEST,483120.940105438,3792.43782570838
14,ELSIES RIVER,742760.007675171,3480.29472337539
15,ORANJE KLOOF,501047.314453125,4032.1876338293
16,MAITLAND,714409.297424316,7935.9242477721
17,WOODSTOCK,1772566.7033844,6921.31468728865
18,GROOTE SCHUUR,1191398.74421692,13910.6457621228
19,OBSERVATORY,1026650.33026123,5930.84949944335
20,SALTRIVER,482124.433044434,5032.5318505915
21,TYGERVALLEY IMPROVEMENT DISTRICT,517723.999084473,4099.7046683515
22,TRIANGLE FARM,654538.508605957,3680.75621436581
23,BRACKENFELL,1298371.51979065,9895.78891104174
24,LITTLE MOWBRAY AND ROSEBANK IMPROVEMENT DISTRICT,870515.728942871,4142.19539942611
25,WYNBERG,489842.070007324,5480.11782656696
26,CCID,1574018.3366394,8633.80146730431
27,MUIZENBERG,482938.215179443,4770.53795791906
28,NORTHPINE,1507675.22542572,4871.58484605471
29,BEACONVALE,938695.635055542,6324.27171066665
30,MONTAGUE GARDENS / MARCONI BEAM,5149704.04093933,13443.0203704546
31,EPPING,5881764.42845154,12365.130880063
32,SEA POINT,258260.371963501,7295.31240365441
33,PENZANCE,314435.990371704,2675.99928361887
34,FISH HOEK,189324.277618408,3646.39018007498
35,OVERKLOOF,200034.454559326,1974.22958264355
36,MOUNT RHODES,236995.328964233,2400.49739980752
37,ZWAANSWYK,712560.758102417,4403.16253392041
38,CLAREMONT,448531.244522095,5162.03726009763
39,CLAREMONT ROAD BYPASS,448531.244522095,5162.03726009763
40,MITCHELLS PLAIN TOWN CENTRE IMPROVEMENT DISTRICT,140805.837844849,1497.08823913802
41,HUGHEDEN MEADOWS OAKWOOD - AREA A,525952.796386719,3035.67952825778
42,BOSTON,2217432.78909302,6828.9443498261
43,SCOTT ESTATE / BAVIAANSKLOOF,747204.110107422,4842.46886689219
44,KENILWORTH LOWER,404041.314880371,2715.26773106544
45,GREEN POINT,363114.849884033,2900.76570184219
46,WELGEMOED,2994606.28970337,11331.4645159925
47,VRCID,2712205.60230255,22823.8600081197
48,PAROW EAST INDUSTRIAL,287416.239234924,2525.68575607823
