WARD_NAME,Total_Poplation,Households,Population_Density (People/Sq Km),Average_Annual_Household_Income (Rands),Average_annual_retail_spend (Rands)
1,26434,9083,970.9,230700,586725468
2,29914,8729,3251.52,115100,281318212
3,25737,10981,2361.19,230700,709328676
4,33365,15286,2648.02,57300,245248584
5,24481,7606,2750.67,230700,491317176
6,36512,6316,4507.65,14600,25819808
7,27867,6803,3131.12,115100,219247084
8,29267,13002,1773.76,230700,839877192
9,31736,6048,2859.1,57300,97034112
10,30522,7618,2749.73,115100,245512904
11,34321,10825,3332.14,230700,699251700
12,35392,7590,9313.68,57300,121773960
13,47175,10520,12750,29400,86600640
14,37314,12107,9819.47,57300,194244708
15,22774,8164,1049.49,230700,527361744
16,42940,10128,2700.63,57300,162493632
17,41077,9003,5071.23,57300,144444132
18,26118,6035,13059,14600,24671080
19,53586,13692,6534.88,29400,112712544
20,42432,10505,13260,29400,86477160
21,21962,8059,1978.56,230700,520579164
22,30846,7452,3954.62,57300,119559888
23,29183,13215,311.78,230700,853636140
24,30432,6087,1636.13,29400,50108184
25,40211,8715,11826.76,29400,71741880
26,38576,7936,4822,115100,255761408
27,20526,9052,3601.05,115100,291727856
28,35448,6538,11077.5,57300,104895672
29,37490,9261,218.35,57300,148583484
30,35723,8364,3800.32,57300,134192016
31,35329,6910,6091.21,57300,110864040
32,43208,9467,216.36,29400,77932344
33,38412,15188,21340,14600,62088544
34,35587,11882,22241.88,29400,97812624
35,30068,11797,6013.6,29400,97112904
36,31455,9770,14297.73,14600,39939760
37,22186,5983,15847.14,14600,24458504
38,23593,4581,12417.37,29400,37710792
39,29136,8240,22412.31,14600,33685120
40,35085,8207,19491.67,14600,33550216
41,25004,5074,12502,29400,41769168
42,25298,9188,16865.33,14600,37560544
43,37811,9824,820.2,115100,316607872
44,38288,8938,7976.67,29400,73577616
45,34767,7615,18298.42,29400,62686680
46,29914,6976,4464.78,57300,111922944
47,34625,6962,16488.1,29400,57311184
48,24186,7699,5257.83,57300,123522756
49,33314,8648,5461.31,57300,138748512
50,32977,7031,13190.8,29400,57879192
51,25875,7357,14375,29400,60562824
52,23641,8656,23903.94,14600,35385728
53,24927,8995,1695.71,230700,581041020
54,22127,13333,632.2,230700,861258468
55,30716,11475,2362.77,115100,369816300
56,33461,8662,2788.42,57300,138973128
57,29939,10202,2649.47,115100,328790056
58,27645,10854,2879.69,230700,701124984
59,19340,10886,1993.81,230700,703192056
60,31679,8319,4061.41,230700,537374124
61,30781,7800,185.09,115100,251378400
62,22000,9000,607.73,230700,581364000
63,31256,7954,2921.12,230700,513796584
64,27993,9707,1201.42,230700,627033372
65,31537,6875,7508.81,57300,110302500
66,31083,6393,6343.47,57300,102569292
67,48723,12148,2298.25,29400,100002336
68,26372,7139,9418.57,29400,58768248
69,34770,13085,854.3,29400,107715720
70,25113,9447,884.26,461000,1219418760
71,25431,9281,443.82,230700,599515476
72,27877,6781,3871.81,115100,218538068
73,26246,8492,2792.13,230700,548549232
74,33438,13307,1035.23,29400,109543224
75,36876,9870,7230.59,57300,158354280
76,34848,8895,8104.19,57300,142711380
77,22301,11155,1149.54,230700,720568380
78,25113,9049,884.26,115100,291631172
79,43484,7318,14027.1,57300,117409992
80,35900,15833,19944.44,14600,64725304
81,38932,7191,8463.48,57300,115372404
82,41383,8615,9853.1,29400,70918680
83,24842,8862,4006.77,57300,142181928
84,34971,8769,240.85,115100,282607332
85,33367,10569,7944.52,29400,87004008
86,39177,11736,9794.25,29400,96610752
87,26154,8603,23776.36,14600,35169064
88,43775,9813,16836.54,14600,40115544
89,32308,9573,29370.91,14600,39134424
90,22175,9333,27546.58,14600,38153304
91,32263,9005,29330,29400,74129160
92,29927,9368,8313.06,57300,150300192
93,35331,9670,7851.33,14600,39530960
94,31604,6404,9295.29,29400,52717728
95,40449,20351,5253.12,14600,83194888
96,32031,7492,8429.21,29400,61674144
97,27840,7655,12104.35,29400,63015960
98,33594,8823,16797,29400,72630936
99,42321,12690,5098.92,29400,104464080
100,34448,13184,307.85,115100,424893952
101,37084,9008,8829.52,14600,36824704
102,27039,9276,2458.09,230700,599192496
103,25618,14943,2065.97,230700,965258028
104,36973,14390,1144.67,14600,58826320
105,33464,12857,71.35,57300,206277708
106,55100,18549,16696.97,14600,75828312
107,25092,16077,2534.55,230700,1038509892
108,41989,17470,5751.92,29400,143813040
109,33245,9468,886.53,57300,151904592
110,24906,6111,8034.19,57300,98044884
111,35104,9747,5949.83,57300,156380868
112,21837,7751,1850.59,230700,500683596
113,27706,11291,1649.17,230700,729353436
114,25998,10219,3249.75,14600,41775272
115,30754,8398,1971.41,115100,270650744
116,32014,10478,3442.37,57300,168109032
