OBJECTID,WARD_NAME,WARD_YEAR,ShapeSTArea,ShapeSTLength
538,1,2021,19678850.47,21584.53177
539,2,2021,9943047.468,16433.10546
540,3,2021,10891545.59,15095.67937
541,4,2021,12636774.71,20233.82628
542,5,2021,16316683.31,22960.53655
543,6,2021,6621952.896,14512.09891
544,7,2021,9608546.063,16733.48394
545,8,2021,15499184.08,19686.01682
546,9,2021,11129400.43,16334.80504
547,10,2021,13293517.29,20069.53986
548,11,2021,10880564.1,16690.00375
549,12,2021,4348119.014,9824.512692
550,13,2021,4145655.575,10057.53096
551,14,2021,33679313.32,37492.83085
552,15,2021,19801716.43,25825.5855
553,16,2021,11997153.68,14039.50932
554,17,2021,7445065.186,13362.48258
555,18,2021,1991677.441,7385.653561
556,19,2021,8576425.709,15352.08561
557,20,2021,2242230.902,6196.236284
558,21,2021,11060336.31,16676.43886
559,22,2021,16468200.18,19998.16666
560,23,2021,121461611.4,56033.93241
561,24,2021,6383397.481,13850.50536
562,25,2021,3614913.142,7804.994826
563,26,2021,6638558.992,12045.22339
564,27,2021,6808641.795,12299.48502
565,28,2021,9566984.168,14447.10035
566,29,2021,171507767.2,73062.68291
567,30,2021,3875529.077,10313.355
568,31,2021,6658453.122,14555.90141
569,32,2021,199649864.8,89009.72075
570,33,2021,1831695.392,8580.454474
571,34,2021,1625009.387,6423.446133
572,35,2021,4522804.677,10560.94308
573,36,2021,2628796.528,10244.03849
574,37,2021,1665483.93,6050.145825
575,38,2021,1759896.676,7104.96817
576,39,2021,2382969.687,8477.687693
577,40,2021,1942148.36,8404.956542
578,41,2021,1487514.495,7421.937956
579,42,2021,3125800.231,8423.511134
580,43,2021,46141370.51,30953.91627
581,44,2021,3949541.479,9640.830788
582,45,2021,6273541.662,10633.16593
583,46,2021,6164094.816,12638.90541
584,47,2021,2919659.316,8201.139507
585,48,2021,5280007.096,12695.85429
586,49,2021,5012720.829,11688.87777
587,50,2021,2612223.41,6773.044032
588,51,2021,2496827.014,7311.799052
589,52,2021,1125068.111,5508.788847
590,53,2021,14810677.84,18176.26728
591,54,2021,36696328.98,59765.30053
592,55,2021,14350697.56,19913.76878
593,56,2021,11859869.79,17111.28276
594,57,2021,10649608.63,17435.29285
595,58,2021,9943688.363,15804.46118
596,59,2021,10165413.95,20015.2762
597,60,2021,6723501.228,19170.47884
598,61,2021,166189151.2,96091.05695
599,62,2021,35789822.27,34288.80853
600,63,2021,8258228.305,13993.54185
601,64,2021,18981356.27,35431.91599
602,65,2021,4281734.277,10612.45794
603,66,2021,8048683.349,11691.69245
604,67,2021,20421573.58,22709.71606
605,68,2021,3378244.928,7804.470247
606,69,2021,40632584.79,38393.41867
607,70,2021,28494282.58,22591.26313
608,71,2021,55996848.84,42214.55768
609,72,2021,6459450.337,12232.59683
610,73,2021,8634954.331,13651.81038
611,74,2021,32300064.68,35247.31796
612,75,2021,5097273.175,10374.31322
613,76,2021,5689834.28,10595.09356
614,77,2021,19347150.98,27257.97541
615,78,2021,2405860.507,7235.226002
616,79,2021,3728238.917,11483.71961
617,80,2021,1835697.705,6498.614055
618,81,2021,4142746.751,9011.082501
619,82,2021,3521593.186,8363.775881
620,83,2021,18391931.4,22355.8452
621,84,2021,137428946.1,74756.0528
622,85,2021,5628335.946,14013.20546
623,86,2021,1748802.963,6490.881363
624,87,2021,1042310.77,4577.894032
625,88,2021,2638681.627,8053.726
626,89,2021,1043943.334,6075.630173
627,90,2021,5959001.165,11233.09905
628,91,2021,1084895.096,5159.964106
629,92,2021,4419623.233,12500.87792
630,93,2021,4087126.73,11329.25425
631,94,2021,3065462.384,7250.354152
632,95,2021,8061909.868,15758.70328
633,96,2021,4185322.242,9319.452051
634,97,2021,3430494.061,9177.405521
635,98,2021,3294616.643,8429.959587
636,99,2021,6604739.81,17284.48246
637,100,2021,112499487.9,69857.06425
638,101,2021,4716696.894,12392.63728
639,102,2021,35090706.48,33085.22551
640,103,2021,11977925.22,18704.89758
641,104,2021,4975783.656,11084.63593
642,105,2021,443266367.7,119291.1484
643,106,2021,2626118.116,8809.342212
644,107,2021,8561060.922,16183.78163
645,108,2021,6374488.507,13597.35296
646,109,2021,29494211.66,27043.72962
647,110,2021,3520566.438,13005.18852
648,111,2021,9735490.714,17168.84685
649,112,2021,10932697.67,20787.60787
650,113,2021,17494101.35,20787.20183
651,114,2021,13417956.42,17515.0171
652,115,2021,12334033.64,52866.34986
653,116,2021,3320629.69,9211.505092
